value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
,,,,,,,,,,,,,,,,,,,,,,,,,,5.479751,,,852.0283,13.87825,1385.917,194.6044,774.8251
,,,,,,,,,,,,,,,,,,,,,,,,,,,7.713179,,853.3163,,1403.037,197.1361,774.7565
,,,,,,,,,,,,,,,,,,,,,,,,,,,7.708374,,849.3513,13.88969,1413.632,196.0983,775.1209
,,,,,,,,,,,,,,,,,,,,,,,,,,5.48616,7.70677,534.1286,849.6549,13.89923,1419.09,196.7379,776.0081
,,,,,,,,,,,,,,,,,,,,,,,,,,5.518203,7.697158,534.2717,839.1512,13.90686,1417.658,195.1071,776.5995
,,,,,,,,,,,,,,,,,,,,,,,,,,5.558258,7.693954,534.1286,837.3384,13.91068,1407.336,195.2895,
,,,,,,,,,,,,,,,,,,,,,,,,,,5.599914,,,831.8696,,1395.22,195.3328,776.8951
,,,,,,,,,,,,,,,,,,,,,,,,,,5.644775,,,,13.90495,1388.974,196.0444,776.3037
47.9,16.0,33.0,16.0,30.0,18.0,25.1,15.0,25.0,25.0,16.0,25.0,10.0,10.00002,10.0,10.00002,10.0,10.0,10.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,5.652785,7.697158,,830.3434,13.90686,1385.577,195.1473,775.7123
,,,,,,,,,,,,,,,,,,,,,,,,,,5.654388,7.700363,,826.3647,13.89923,1379.573,195.7482,779.8523
,,,,,,,,,,,,,,,,,,,,,,,,,,5.652785,7.70677,,830.2404,13.87443,1379.388,195.5724,786.3578
,,,,,,,,,,,,,,,,,,,,,,,,,,5.65599,7.711578,,839.4409,13.86681,1381.05,197.3549,788.1322
,,,,,,,,,,,,,,,,,,,,,,,,,,5.654388,7.714782,,836.1092,13.85345,1391.607,199.1871,784.8794
,,,,,,,,,,,,,,,,,,,,,,,,,,5.664,7.724394,534.2717,838.4374,13.87253,1404.627,199.259,
,,,,,,,,,,,,,,,,,,,,,,,,,,5.65599,7.729201,,836.3246,13.88397,1433.107,200.7903,778.965
,,,,,,,,,,,,,,,,,,,,,,,,,,5.654388,7.730803,,826.2673,13.89732,1436.87,198.5195,779.8523
,,,,,,,,,,,,,,,,,,,,,,,,,,5.664,7.737213,,825.0439,13.90686,1435.919,199.313,780.148
